更新年月日：2014年11月29日
"形状(WKT)","ルートID","名称","問い合わせ先","ホームページ"
"POINT(136.80260395236 35.3579631810924)","rt010101","木曽川堤の桜","一宮市経済課0586-28-9131",""
"POINT(136.755794670131 35.2710875937313)","rt010101","萩原萬葉公園","樫の木文化資料館",""
"POINT(136.738918535619 35.2132384878151)","rt010101","平和の桜並木","稲沢市平和支所経済建設課0587-46-1111",""
"POINT(136.806183720711 35.2753587282852)","rt010101","一宮地方総合卸売市場","0586-44-1119",""
"POINT(136.787657429148 35.2479527824682)","rt010102","稲沢公園","",""
"POINT(136.79355076725 35.2400024469971)","rt010102","あじさい寺（大塚性海寺歴史公園）","稲沢市商工課0587-32-1111",""
"POINT(136.770065023695 35.2298317366551)","rt010102","植木センター（愛知県植木センター）","0587-36-1148","http://www.aichi-nourin.or.jp/aichi-ueki/"
"POINT(136.804066084076 35.2522848515822)","rt010102","国府宮の農産物直売所","ＪＡ愛知西Ａコープ稲沢国府宮店0587-23-7951",""
"POINT(136.738755705128 35.2568040299902)","rt010103","ぎんなん・いちょう並木","稲沢市観光協会0587-22-1414",""
"POINT(136.70563670715 35.2638396962124)","rt010103","木曽三川公園ワイルドネイチャープラザ","0587-97-2100",""
"POINT(136.745128987017 35.2357239536705)","rt010103","みどりの里","0587-36-6780",""
"POINT(137.051559187448 35.2410276257278)","rt010201","森林公園","0561-53-1551",""
"POINT(137.087332825869 35.130521095742)","rt010201/rt010202","愛知牧場","0561-72-1300",""
"POINT(137.061761770772 35.1851565490319)","rt010201/rt010202/rt010203","あぐりん村","0561-63-2617",""
"POINT(137.006297960377 35.0410161649192)","rt010202","豊明花き市場","0562-96-1199",""
"POINT(137.010938058726 35.1141216757931)","rt010202/rt010203","農業センター","052-801-5221",""
"POINT(137.05373581541 35.0973388934808)","rt010203","東郷町文化産業まつり","東郷町0561-38-3111",""
"POINT(137.111675951537 35.1878758049686)","rt010203","海上の森センター","0561-86-0606",""
"POINT(136.877371317033 35.2780558700919)","rt010301","五条川の桜と尾北自然歩道","岩倉市商工農政課〒482-8686岩倉市栄町一丁目660587-38-5812",""
"POINT(136.858171637271 35.3492658816735)","rt010301","曼陀羅寺公園のフジ","曼陀羅寺公園江南市前飛保町２０２","http://www.city.konan.lg.jp/intro/mandarazi1.html"
"POINT(136.99383529852 35.3366727144682)","rt010301","入鹿池","","http://www.aichi-doren.or.jp/homepage/yousuiten/irukaike.htm"
"POINT(136.984640768425 35.3701018799389)","rt010301/rt010302","犬山里山学センター","犬山里山学センター0568-65-2121","http://www.city.inuyama.aichi.jp/profile/shisetsu/satoyamagaku/index.html"
"POINT(136.900172547434 35.3745243117333)","rt010302","木曽川扶桑緑地公園","0587-93-2441（総合体育館）",""
"POINT(136.879638689624 35.3706011999154)","rt010302","すいとぴあ江南","〒483-8007江南市草井町西２００0587-53-5111","http://www7.ocn.ne.jp/~suitopia/"
"POINT(136.847742320525 35.0737956089592)","rt010401","藤前干潟","稲永ビジターセンター052-389-5821","http://www.fujimae.org/"
"POINT(136.84124275311 35.2164593836986)","rt010401","清須の自然と歴史","","http://www.city.kiyosu.aichi.jp/01syokai/shisetsu/52.html"
"POINT(136.841279236771 35.2375891154178)","rt010401","五条川の桜","",""
"POINT(136.812715854655 35.1152374312466)","rt010401","農業文化園と戸田川緑地公園","戸田川緑地管理センター052-302-5321","http://www.chance.ne.jp/bunkaen/"
"POINT(136.992280714693 35.271677604392)","rt010501","落合公園の桜","春日井市公園緑地課0568-81-5111","http://www.city.kasugai.lg.jp/machi/park/ochiaikoen.html"
"POINT(136.961095043154 35.2549791788415)","rt010501","朝宮公園","春日井市経済振興課0568-85-6246","http://www.city.kasugai.lg.jp/machi/park/004206.html"
"POINT(137.049819542991 35.2511851459818)","rt010501/rt010502","東谷山フルーツパーク","052ー736-3344","http://www.chance.ne.jp/TOGOKU-1/"
"POINT(136.968894222047 35.2970889887568)","rt010502","ＪＡ尾張中央桃選果場","ＪＡ尾張中央&nbsp;小牧東部営農センター　0568-79-8000","http://www.ja-owari-chuoh.or.jp/"
"POINT(136.995401329288 35.3191602868974)","rt010503","兒（ちご）の森","","http://www.komaki-aic.ed.jp/s-gakusyu/chigo/index.html"
"POINT(137.002958316207 35.313122190845)","rt010503","市民四季の森","0568-78-4554","http://www.city.komaki.aichi.jp/contents/06051020.html"
"POINT(137.056858640841 35.3036911204408)","rt010503","都市緑化植物園","0568-92-8711","http://www.city.kasugai.lg.jp/shisetsu/syokubutsuen/index.html"
"POINT(137.055274276822 35.3043567280592)","rt010503","少年自然の家","0568-92-8211","http://www.s-kousya-kasugai.or.jp/natures/index.html"
"POINT(136.913334551839 35.2937312289314)","rt010501/rt010502","小牧山","","<a href="http://www.city.komaki.aichi.jp/contents/11103190.html">http://www.city.komaki.aichi.jp/contents/11103190.html</a>"
"POINT(136.689683909633 35.1614653988226)","rt0201","花ハス","愛西市教育委員会0567-37-0231",""
"POINT(136.690357423958 35.2078378935012)","rt0201","れんこん","ＪＡあいち海部",""
"POINT(136.725233363275 35.1013475675288)","rt0201","立田輪中人造堰樋門","弥富市歴史民俗資料館0567-65-4355",""
"POINT(136.694383044323 35.1441941811644)","rt0201/rt0204","立田ふれあいの里","0567-23-1011",""
"POINT(136.721016853725 35.106199965799)","rt0201/rt0204","弥富市歴史民俗資料館","0567-65-4355",""
"POINT(136.719053771245 35.1782811361023)","rt0202","津島神社","0567-26-3216",""
"POINT(136.720930618445 35.1743668016679)","rt0202","天王川公園","",""
"POINT(136.711719616918 35.1644978602053)","rt0202","グリーンセンター津島店","0567-23-3511",""
"POINT(136.71933891168 35.176335083659)","rt0202","堀田家住宅","",""
"POINT(136.733767193905 35.113782274319)","rt0203","金魚、金魚池","",""
"POINT(136.786480767068 35.0830302363138)","rt0203","海部南部味噌","",""
