更新年月日：2014年11月29日
"形状(WKT)","名称"
"POINT(137.358960925824 34.9224078308406)","万足平の猪垣"
"POINT(137.345409134214 34.9316777354072)","明見の星空ひろば"
"POINT(137.387258195994 34.8953602854628)","雨山の星空ひろば"
"POINT(137.366530213041 34.9610781400521)","千万町星空ひろば"
"POINT(137.217133364931 35.0098486808833)","駒立ぶどう狩り園"
"POINT(137.187215752249 34.9868878792794)","おかざき農遊館"
"POINT(137.129160719461 34.916045466497)","ふれあいドーム岡崎"
"POINT(136.809592022577 35.3577676895924)","138タワーパーク"
"POINT(136.753774306745 35.2316612572653)","愛知県下水道科学館"
"POINT(136.800153485355 35.2841114822983)","一宮市博物館"
"POINT(136.736541148008 35.3056803570265)","尾西歴史民俗資料館"
"POINT(137.090618189077 35.278864637331)","定光寺"
"POINT(137.144900194208 35.2401699521678)","岩谷堂公園"
"POINT(137.073139124886 35.1163851766443)","愛知池"
"POINT(137.099967270366 35.2188885801691)","瀬戸市南公園"
"POINT(137.028311518963 35.2202251292729)","城山公園"
"POINT(137.100840692675 35.2255236588815)","瀬戸蔵"
"POINT(137.04865737242 35.1734347028281)","長久手市郷土資料室"
"POINT(137.088332448495 35.1751886214629)","愛地球博記念公園"
"POINT(136.680189102981 35.1319234896291)","船頭平閘門"
"POINT(136.677330243803 35.1384113792401)","加藤牧場"
"POINT(136.864063674729 34.992128697376)","牟山神社"
"POINT(136.883248570154 34.9623903250425)","水の生活館"
"POINT(136.833689233366 34.9619039745902)","日長神社"
"POINT(137.445642288308 35.2306467498379)","奧矢作湖"
"POINT(137.422188659557 35.2137965778365)","黒谷渓谷"
"POINT(137.375295295517 35.1956322816489)","押井磨崖物"
"POINT(137.246645324761 35.1951635843542)","ふじの回廊"
"POINT(137.196046018847 35.2054178169797)","金剛寺のしだれ桜"
"POINT(137.509820744327 35.2141838809855)","瑞龍寺しだれ桜"
"POINT(137.511560671936 35.2100413435069)","大井平公園"
"POINT(137.40318991243 35.0670881245197)","保殿の七滝"
"POINT(137.357512318725 35.0293341208188)","羽左の窪"
"POINT(137.570340663568 34.9689374041482)","観来館"
"POINT(137.221897706055 34.6139432463893)","太平洋ロングビーチ"
"POINT(137.109652142995 34.6228044668493)","渥美郷土資料館"
"POINT(137.056338169723 34.5954064314889)","伊良湖東大寺窯跡"
"POINT(137.028866656544 34.5878506992251)","句碑"
"POINT(137.026048757954 35.0989596129162)","涼松せせらぎの道"
"POINT(137.525445010509 35.2078195212248)","オオキツネノカミソリ他"
"POINT(137.303084522393 35.1390070436304)","香嵐渓グリーンファーム三ッ足栗"
"POINT(136.865663398835 34.8391241621647)","潮干狩り（大谷）"
"POINT(136.865069450137 34.825095441375)","潮干狩り（小鈴谷）"
"POINT(136.860235085631 34.8139228419869)","潮干狩り（坂井）"
"POINT(136.855962064057 34.7962156020294)","潮干狩り（奥田北）"
"POINT(136.858337832451 34.8067962214041)","潮干狩り（上野間）"
"POINT(136.852754332419 34.7890765086686)","潮干狩り（奥田中）"
"POINT(136.849062270492 34.7801601037841)","潮干狩り（奥田南）"
"POINT(136.945824815881 34.7433041437693)","潮干狩り（山田）"
"POINT(136.943562853065 34.7478255964816)","潮干狩り（久方）"
"POINT(136.938738505607 34.750647399388)","潮干狩り（矢梨）"
"POINT(136.919839869154 34.7883385433068)","潮干狩り（北方）"
"POINT(136.922198891527 34.7961773528695)","潮干狩り（河和口）"
"POINT(136.922085095456 34.8014058278917)","潮干狩り（大池）"
"POINT(136.922089378806 34.8073557351823)","潮干狩り（上村）"
"POINT(137.698230869273 35.1435790432979)","湯?らんどパルとよね"
"POINT(137.659420954436 35.2229251274343)","茶臼山高原"
"POINT(137.591007440074 35.1895607597471)","面ノ木ビジターセンター"
"POINT(137.020185942097 34.5836304250503)","「道の駅」伊良湖クリスタルポル"
"POINT(137.272282111615 34.6615917877409)","「道の駅」田原めっくんはうす"
"POINT(137.108360772629 35.1865401149079)","２００５年記念と長久手"
"POINT(136.947683435118 34.998339166823)","あいち健康の森"
"POINT(137.424691099851 34.8750391824861)","ウォーキングセンター及び本宮山"
"POINT(137.476903768092 34.8959308103051)","グリーンセンターしんしろ"
"POINT(137.555042184116 34.9248961833028)","こんたく長篠"
"POINT(137.626294356423 34.995160500464)","愛知県民の森"
"POINT(137.613243677623 34.9702746394818)","湯谷温泉"
