更新年月日：2014年11月29日
"形状(WKT)","データID","データ名","特色、概要","問い合わせ先","問い合わせ電話番号","問い合わせホームページ"
"POINT(136.787657429148 35.2479527824682)","da010102","稲沢公園","豊かな緑に包まれた公園。バラやさくら、広大な芝生広場や散歩道での憩いのひとときを。樹木の名に詳しくなれます。","稲沢公園","","http://www.city.inazawa.aichi.jp/sisetu/inazawa_k/top.html"
"POINT(136.79355076725 35.2400024469971)","da010103","あじさい寺（大塚性海寺歴史公園）","約９０種１万本のあじさいが一斉に咲きほこる、歴史と自然が一体となった名所。","大塚性海寺歴史公園","0587-32-1111（市役所商工観光課）","http://www.city.inazawa.aichi.jp/sisetu/syoukaiji/top.html"
"POINT(136.738755705128 35.2568040299902)","da010104","ぎんなん・いちょう並木","樹齢１００年を超えるいちょう大木群は、その昔、伊吹おろしを防ぐために植えられたのが始まりという。新緑の季節、青葉の季節、黄葉の季節、四季それぞれの美しさを見せてくれる。","稲沢市観光協会","0587-22-1414","http://www.inazawa-kankou.jp/ev/"
"POINT(136.70563670715 35.2638396962124)","da010105","木曽三川公園 ワイルドネイチャープラザ","清流と緑豊かなまち・稲沢市祖父江町の木曽川岸に沿って広大な砂丘があり、その周りには松林、湿地性草花、水鳥のさえずり、澄んだ空気が和ませてくれます。","国営木曽三川公園 ワイルドネイチャープラザ","0586-51-7105（138タワーパーク）","http://www.kisosansenkoen.go.jp/index.html"
"POINT(136.755794670131 35.2710875937313)","da010106","萩原・萬葉公園","萩の名所として万葉集に数多く歌われていると伝えられ、これにちなみ昭和３２年に歌碑を建立し萬葉公園と名付けられました。築込分園、高松分園、戸苅分園からなり、樫の木文化資料館も隣接しています。","樫の木文化資料館","0586-69-6163","http://www.aichi-kanko.jp/search/detail.asp?id=1924&gnrcd=06&burcd=08001&cikcd=2&kwd=&cpg=1"
"POINT(136.738918535619 35.2132384878151)","da010107","平和の桜並木","平和支所?日光川?須ヶ谷川を桜でつなぎ「桜ネックレス」と呼ばれ、約２kmのシンボルロードとなっています。約60種の桜が次々と開花し3月上旬から5月上旬まで楽しむことができます。","日光川桜づつみ・須ケ谷川桜づつみ・日光川桜づつみ小公園","0567-46-1111（平和支所市民福祉課）","http://www.city.inazawa.aichi.jp/ka_annai/heiwa/sakura/top.html"
"POINT(137.100168870188 35.2141380961918)","da010108","瀬戸市南公園・萩殿の森","森林治山事業とともに、当時の「萩御殿」を模した休憩施設を設置した。明治時代のはげ山復旧工事の見学茶屋であった「萩御殿」が名の由来。","瀬戸市南公園・萩殿の森","",""
"POINT(137.036355323914 35.2253181742443)","da010109","維摩（いま）池","維摩池周辺はウォーキングコースになっています。","","","http://www.city.owariasahi.lg.jp/l_navi/walking/course/itiran/ike.html"
"POINT(137.028311518963 35.2202251292729)","da010109","城山公園","公園では春には桜まつり、秋には市民祭や農業まつりが行われ、その周辺はウォーキングコースになっています。","","","http://www.city.owariasahi.lg.jp/learn/sisetu/index.html#sonota-si"
"POINT(137.026267635535 35.0992483331067)","da010110","涼松（すずみまつ）せせらぎの道","愛知用水路に「ふた」をし、その上部を利用した水とふれあう公園。","涼松せせらぎの道","0561-38-3111（東郷町役場都市計画課）","http://www.town.aichi-togo.lg.jp/tokei/koen/kyouiku/leisure/kouen/seseraginomichi.html"
"POINT(137.091287599185 35.2801090320234)","da010111","定光寺","桜と紅葉の名所。尾張徳川家の菩提寺として有名な臨済宗の寺院。","定光寺","","http://www.seto-marutto.info/cgi-bin/data/miru/013.html"
"POINT(137.144867253063 35.2400888168362)","da010112","岩屋堂公園","自然あふれる瀬戸の奥座敷。四季を通しての観光スポット","岩屋堂公園","","http://www.seto-marutto.info/cgi-bin/data/miru/014.html"
"POINT(137.072071732597 35.1096684984496)","da010113","愛知池","知多半島の慢性的な水不足を解消するために整備された愛知用水の調整池として造られた。","（独）水資源機構 愛知用水総合管理所","0561-39-5460","http://www.water.go.jp/chubu/aityosui/b(jyouhou-main)/01(aitiyousui)/03(sisetu)/03(aitiike)/b-01-03-03.html"
"POINT(136.992280714693 35.271677604392)","da010114","落合公園の桜","日本の都市公園百選に選ばれた落合公園に、ソメイヨシノほか千本余の桜が美しく咲き競います。","落合公園","","http://www.city.kasugai.lg.jp/machi/park/ochiaikoen.html"
"POINT(136.961095043154 35.2549791788415)","da010115","朝宮公園","桜並木が落合公園から続いており、のんびり散策が楽しめます。","","","http://www.city.kasugai.lg.jp/machi/park/004206.html"
"POINT(136.974878617435 35.2631958376208)","da010115","三つ又ふれあい公園","桜並木が落合公園から続いており、のんびり散策が楽しめます。","","",""
"POINT(136.995412346537 35.3191512882546)","da010116","兒（ちご）の森","子どもたちの自然体験の場として小牧市東部のゆるやかな丘陵地帯に整備されました。呼称は、地元のお宮の名前に由来しています。","兒（ちご）の森","0568-76-1179(小牧市教育委員会生涯学習課)","http://www.komaki-aic.ed.jp/s-gakusyu/chigo/index.html"
"POINT(136.913334551839 35.2937312289314)","da010117","小牧山","春の桜、夏の青葉、秋の紅葉、そして雪の小牧山と四季折々の姿を見せ、憩いの場として親しまれている。","小牧山","0568-72-2101(小牧市役所)","http://www.city.komaki.aichi.jp/contents/11103190.html"
"POINT(136.877371317033 35.2780558700919)","da010118","五条川の桜　と　尾北自然歩道","五条川は四季折々に美しい情景を見せ、尾北自然歩道はこの流れをたどることができます。","岩倉市商工農政課","0587-38-5812","http://www.city.iwakura.aichi.jp/view/88vtda0000001jko.html"
"POINT(136.858171637271 35.3492658816735)","da010119","曼陀羅寺公園のフジ","フジの開花時期に合わせて曼陀羅寺公園内で藤祭りが開催されます。","曼陀羅寺公園","","http://www.city.konan.lg.jp/intro/mandarazi1.html"
"POINT(136.900172547434 35.3745243117333)","da010120","木曽川扶桑緑地公園","木曽川河川敷を舞台にした緑地公園。キャンプ場、散策の森などがあり、木曽川の美しい自然を眺めながらの散策に最高です。","木曽川扶桑緑地公園","キャンプ場予約等：0587-93-2441（総合体育館）","http://www.town.fuso.aichi.jp/tourism/kou/kou_43.html"
"POINT(136.971878602452 35.3776628920259)","da010121","中島池","希少な動植物を保護・回復することを目的として整備され、自然観察することができます。","中島池","","http://chubu.env.go.jp/to_2005/1128a.html"
"POINT(136.99383529852 35.3366727144682)","da010122","入鹿池","江戸時代（1633年）に築造された我が国屈指の農業用ため池。水管理の合理化と用水の安定供給のため度重なる改修が行われ、現在の姿に至っている。","入鹿池","","http://www.aichi-doren.or.jp/"
"POINT(136.847742320525 35.0737956089592)","da010123","藤前干潟","藤前干潟は貴重な自然を残しており、2002年11月、ラムサール条約登録地に指定されました。","稲永ビジターセンター","052-389-5821","http://www.fujimae.org/"
"POINT(136.84124275311 35.2164593836986)","da010124","清須の自然と歴史","清洲公園や清洲城など、戦国時代の歴史を感じさせてくれます。","清洲公園・清洲古城跡公園","","http://www.city.kiyosu.aichi.jp/01syokai/shisetsu/52.html"
"POINT(136.913232577665 35.2594135968261)","da010126","神明公園","　「緑」や「水」に親しむ空間、大空への憧れの空間として、子どもから大人まで楽しめる公園です。","神明公園","0568-29-0036","http://www.town.toyoyama.lg.jp/2sisetu/02koukyou/kouen-sinmei.html"
"POINT(136.939140639688 35.3089986012249)","da010127","清流亭の藤樹","　花房が１．８ｍにおよぶものがあり、４月下旬の開花期には訪れる人の目を楽しませてくれます。","清流亭","0568-76-2248",""
"POINT(136.720930618445 35.1743668016679)","da020101","天王川公園","津島市の天王川（てんのうがわ）公園は、四季折々の景色が楽しめる憩いの場","津島市役所　建設部都市計画課","（0567）24-1111","http://www.city.tsushima.lg.jp"
"POINT(136.689683909633 35.1614653988226)","da020102","ハスの風景","愛西市の水田地域では７?８月にかけてハスの開花風景を見ることができ、自由に観賞できる蓮園（はすえん）も２か所あります。","愛西市教育委員会","0567-37-0231","http://www.city.aisai.lg.jp"
"POINT(136.676476632006 35.1380203093312)","da020103","船頭平閘門","水位の異なる木曽川と長良川を行き来する船のために造られた水門。","船頭平閘門管理所　木曽川文庫","0567-24-6233","http://www.cbr.mlit.go.jp/kisokaryu/sisetu/sendohira-detail.html"
"POINT(136.719315201852 35.1044448883581)","da020104","水郷の塔","弥富市の景観美を広く親しんでもらうため建てられたシンボルタワー","弥富市役所","0567-65-1111","http://www.city.yatomi.lg.jp/"
"POINT(136.784860919401 35.049382775572)","da020105","弥富野鳥園","羽を休めている多くの野鳥を観察できる弥富野鳥園","愛知県弥富野鳥園","0567-68-2338"," http://www.aichi-park.or.jp/yachou/ "
"POINT(136.769131474854 35.2049941707013)","da020106","蓮華寺寺叢","あま市（旧美和町）にある愛知県自然環境保全地域第１号の指定を受けた面積約2.2haの自然林","あま市役所　産業振興課","052-441-7114（直通）","http://www.city.ama.aichi.jp"
"POINT(136.798267053859 35.178629093791)","da020107","らかんまき","あま市（旧七宝町）の遠島八幡神社にある樹齢３００年を経ている県指定天然記念物","美和歴史民族資料館","０５２?４４２?８５２２","http://www.city.ama.aichi.jp"
"POINT(136.816138097129 35.1972698206079)","da020108","水辺乃並木道","あま市（旧甚目寺町）の福田川の河川敷を使った並木道","七宝焼アートヴィレッジ","052-443-7588","http://www.city.ama.aichi.jp/"
"POINT(136.762963263727 35.1041744077307)","da020109","三ツ又池公園","弥富市の三ツ又池は、水郷地帯として市のシンボル的な存在です。","弥富市役所","0567-65-1111","http://www.city.yatomi.lg.jp/"
"POINT(136.934956344862 34.8922655294014)","da030101","半田運河","船方橋から北へ向かう入江沿いを中心に、黒板囲いの蔵が並び、美しいたたずまいを映しています","半田市観光協会","0569-32-3264","http://dashimatsuri.jp/kankoukyoukai/miru/handaunga/index.shtml"
"POINT(136.851631715439 34.9145521233177)","da030103","前山ダム公園","前山ダムの水辺の自然環境を活かした憩いとふれあいの場","常滑市環境経済部農業水産課","0569-35-5111",""
"POINT(136.888936600927 34.9609701188901)","da030104","佐布里池","早春には２５種類約４６００本の梅が咲き、梅まつりが開催されます。","知多市観光協会（知多市役所商工振興課内）","0562-33-3151","http://www.city.chita.aichi.jp"
"POINT(136.890082961333 34.7888875871006)","da030106","美浜町民の森","自然観察とハイキング、体験広場でのデイキャンプが楽しめます","知多郡美浜町役場　経済環境部農業水産課農政係","０５６９?８２?１１１１　内線２６５","http://www.town.mihama.aichi.jp/"
"POINT(136.895565098943 34.8699894340969)","da030107","壱町田湿地","県の天然記念物に指定されている植物を夏期の指定日に公開する。","武豊町歴史民俗資料館","0569（73）2424","http://www.town.taketoyo.lg.jp/sisetu/rekimin.htm"
"POINT(137.159012780888 34.9575462762634)","da040101","岡崎公園","岡崎市のシンボル岡崎城や三河武士のやかた家康館を中心とした歴史と文化の公園","岡崎市土木建設部公園緑地課","0564-23-6250","http://www.city.okazaki.aichi.jp"
"POINT(137.39892424287 34.9389613350107)","da040102","くらがり渓谷","岡崎市額田地区男川上流の、片麻岩と落葉樹のおりなす景観が見事な自然公園です。","くらがりキャンプセンター","0564-83-2057",""
